schema_key	dimension	band	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	notes	api_key_s	api_key_u
river_area	surface_water	B	ria_ha_ssu	ria_ha_usu	River area	float	ha	s+u	implemented	H08	u already in view as river_area_upstream	river_area	river_area_upstream
river_volume	surface_water	B	riv_tc_ssu	riv_tc_usu	River channel volume	float		s+u	planned	H09	Not currently in signature		
lake_area_pct	surface_water	B	lka_pc_sse	lka_pc_use	Lake area	float	%	s+u	planned	H04	Not currently in signature		
lake_volume_upstream	surface_water	B		lkv_mc_usu	Lake volume upstream	float		u	planned	H05	u-only field		
inundation_min	inundation	B	inu_pc_smn	inu_pc_umn	Inundation extent minimum	float	%	s+u	planned	H03	Flood signal; not currently in signature		
inundation_max	inundation	B	inu_pc_smx	inu_pc_umx	Inundation extent maximum	float	%	s+u	planned	H03	Flood signal; not currently in signature		
inundation_longterm	inundation	B	inu_pc_slt	inu_pc_ult	Inundation extent long-term	float	%	s+u	planned	H03	Flood signal; not currently in signature		
wetland_pct_g1	wetlands	B	wet_pc_sg1	wet_pc_ug1	Wetland extent group 1	float	%	s+u	implemented	L06	u available in basin08	wet_pct_grp1	wet_pct_grp1_upstream
wetland_pct_g2	wetlands	B	wet_pc_sg2	wet_pc_ug2	Wetland extent group 2	float	%	s+u	planned	L06	u available in basin08; s in signature already	wet_pct_grp2	wet_pct_grp2_upstream
wetland_class_id	wetlands	C	wet_cl_smj		Wetland class ID	integer		s	implemented		Lookup: lu_wet	wetland_class	
reservoir_vol	water_management	B		rev_mc_usu	Reservoir volume upstream	float		u	implemented	H06	u-only field; already in signature	reservoir_vol	
degree_of_regulation	water_management	B	dor_pc_pva		Degree of regulation by dams	float	%	s	planned	H07	Not currently in signature		
pct_clay	soils	B	cly_pc_sav	cly_pc_uav	Clay content	float	%	s+u	implemented	S01	u available in basin08; currently s only in signature	pct_clay	pct_clay_upstream
pct_silt	soils	B	slt_pc_sav	slt_pc_uav	Silt content	float	%	s+u	implemented	S02	u available in basin08; currently s only in signature	pct_silt	pct_silt_upstream
pct_sand	soils	B	snd_pc_sav	snd_pc_uav	Sand content	float	%	s+u	implemented	S03	u available in basin08; currently s only in signature	pct_sand	pct_sand_upstream
soil_organic_carbon	soils	B	soc_th_sav	soc_th_uav	Soil organic carbon	float	t/ha	s+u	planned	S04	Not currently in signature; good agricultural fertility proxy		
climate_zone_id	climate_type	C	clz_cl_smj		Climate zone ID	integer		s	implemented		Lookup: lu_clz	zone_id	
climate_zone_name	climate_type	C	clz_cl_smj		Climate zone name	string		s	implemented		Resolved via lu_clz	zone_name	
climate_stratum_id	climate_type	C	cls_cl_smj		Climate stratum ID	integer		s	implemented		Lookup: lu_cls	strata_id	
climate_stratum_code	climate_type	C	cls_cl_smj		Climate stratum code	string		s	implemented		Resolved via lu_cls	strata_code	
biome_id	climate_type	C	tbi_cl_smj		Biome ID	integer		s	implemented		Lookup: lu_tbi	biome_id	
biome_name	climate_type	C	tbi_cl_smj		Biome name	string		s	implemented		Resolved via lu_tbi	biome	
temperature_annual	temperature	C	tmp_dc_syr	tmp_dc_uyr	Temperature annual mean	float	°C	s+u	implemented	C03	Stored ×10 in basin08; divide by 10. u available in basin08 as tmp_dc_uyr	temp_yr	temp_yr_upstream
temperature_min	temperature	C	tmp_dc_smn		Temperature monthly minimum	float	°C	s	implemented	C03		temp_min	
temperature_max	temperature	C	tmp_dc_smx		Temperature monthly maximum	float	°C	s	implemented	C03		temp_max	
temperature_monthly	temperature	C	tmp_dc_s01..s12		Temperature monthly	float[12]	°C	s	planned	C03	Jan–Dec array; divide by 10		
precipitation_annual	precipitation	C	pre_mm_syr	pre_mm_uyr	Precipitation annual	float	mm/yr	s+u	implemented	C04	u available in basin08 as pre_mm_uyr	precip_yr	precip_yr_upstream
precipitation_monthly	precipitation	C	pre_mm_s01..s12		Precipitation monthly	float[12]	mm	s	planned	C04	Jan–Dec array		
pet_annual	moisture_balance	C	pet_mm_syr	pet_mm_uyr	Potential evapotranspiration annual	float	mm/yr	s+u	planned	C05	u available in basin08		
aet_annual	moisture_balance	C	aet_mm_syr	aet_mm_uyr	Actual evapotranspiration annual	float	mm/yr	s+u	planned	C06	u available in basin08		
aridity_index	moisture_balance	C	ari_ix_sav	ari_ix_uav	Aridity index (P/PET)	float	P/PET ×100	s+u	implemented	C07	Global Aridity Index: stored as P/PET × 100. Value of 100 = P equals PET (arid/humid boundary). Values >100 = humid (P > PET); wet tropics reach ~1000. Global median ~68 (semi-arid). Higher = wetter. Key s/u divergence variable. u available in basin08	aridity	aridity_upstream
climate_moisture_index	moisture_balance	C	cmi_ix_syr	cmi_ix_uyr	Climate moisture index	float		s+u	planned	C08	u available in basin08		
ecoregion_terrestrial_id	vegetation	C	tec_cl_smj		Terrestrial ecoregion ID	integer		s	implemented		Lookup: lu_tec	eco_id	
ecoregion_terrestrial_name	vegetation	C	tec_cl_smj		Terrestrial ecoregion name	string		s	implemented		Resolved via lu_tec	ecoregion	
pnv_majority_id	vegetation	C	pnv_cl_smj		Potential natural vegetation majority ID	integer		s	implemented		Lookup: lu_pnv	pnveg_id	
pnv_majority_name	vegetation	C	pnv_cl_smj		Potential natural vegetation majority name	string		s	implemented		Resolved via lu_pnv	pnv_majority	
pnv_shares	vegetation	C	pnv_pc_s01..s15		Potential natural vegetation shares	object		s	implemented		JSON object of {name: pct}	pnv_shares	
forest_cover_pct	vegetation	C	for_pc_sse	for_pc_use	Forest cover	float	%	s+u	planned	L07	Not currently in signature		
freshwater_habitat_id	freshwater_ecology	C	fmh_cl_smj		Freshwater habitat type ID	integer		s	implemented		Lookup: lu_fmh	freshwater_type	
freshwater_habitat_name	freshwater_ecology	C	fmh_cl_smj		Freshwater habitat type name	string		s	implemented		Resolved via lu_fmh	freshwater_ecoregion_class	
freshwater_ecoregion_id	freshwater_ecology	C	fec_cl_smj		Freshwater ecoregion ID	integer		s	implemented		Lookup: lu_fec		
freshwater_ecoregion_name	freshwater_ecology	C	fec_cl_smj		Freshwater ecoregion name	string		s	implemented		Resolved via lu_fec	freshwater_ecoregion_name	
cropland_pct	land_use	D	crp_pc_sse	crp_pc_use	Cropland extent	float	%	s+u	implemented	L08	u available in basin08; currently s only	cropland_extent	cropland_extent_upstream
pasture_pct	land_use	D	pst_pc_sse	pst_pc_use	Pasture extent	float	%	s+u	planned	L11	Not currently in signature		
irrigated_area_pct	land_use	D	ire_pc_sse	ire_pc_use	Irrigated area	float	%	s+u	planned	L12	Not currently in signature		
urban_area_pct	land_use	D	urb_pc_sse	urb_pc_use	Urban area	float	%	s+u	planned	A06	Not currently in signature		
pop_density	human_presence	D	ppd_pk_sav	ppd_pk_uav	Population density	float	pk/km²	s+u	implemented	A05	u available in basin08	pop_density	
pop_count	human_presence	D	pop_ct_ssu	pop_ct_usu	Population count	float		s+u	planned	A05	Not currently in signature		
nighttime_lights	human_presence	D	nli_ix_sav	nli_ix_uav	Nighttime lights index	integer		s+u	planned	A03	Not currently in signature		
road_density	human_presence	D	rdd_mk_sav	rdd_mk_uav	Road density	float	m/km²	s+u	planned	A04	Not currently in signature		
human_footprint_1993	human_presence	D	hft_ix_s93	hft_ix_u93	Human footprint 1993	integer		s+u	planned	A02	Not currently in signature		
human_footprint_2009	human_presence	D	hft_ix_s09	hft_ix_u09	Human footprint 2009	integer		s+u	implemented	A02	u available in basin08; currently s only	human_footprint_09	human_footprint_09_upstream
protected_area_pct	human_presence	D	pac_pc_sse	pac_pc_use	Protected area	float	%	s+u	planned		Not currently in signature		
gdp_mean	economic	D	gdp_ud_sav		GDP mean	integer	USD/km²	s	implemented	A07		gdp_avg	
hdi	economic	D	hdi_ix_sav		Human Development Index	integer		s	implemented	A08		human_dev_idx	
dist_sink_km	coastality	coastality	dist_sink		Flow distance to marine outlet	float	km	s	planned		Coastality; convert from basin08 units	dist_sink	
outlet_type	coastality	coastality	endo		Outlet type	string		s	planned		Derived from endo flag: exorheic/endorheic/coastal	endorheic	
coast_flag	coastality	coastality	coast		Basin touches coast	boolean		s	planned			coast_flag	
topo_depth_from_coast	coastality	coastality			Topological depth from coast	integer	hops	derived	planned		Computed via next_down DAG traversal		
lmr_pdsi	temporal_climate	temporal			PDSI (LMR v2.1)	float		point	planned		Last Millennium Reanalysis; period query required		
lmr_temp_anomaly	temporal_climate	temporal			Temperature anomaly (LMR v2.1)	float	°C	point	planned		Relative to 1951–1980 baseline		
lmr_precip_anomaly	temporal_climate	temporal			Precipitation anomaly (LMR v2.1)	float		point	planned				
lmr_slp	temporal_climate	temporal			Sea-level pressure (LMR v2.1)	float	hPa	point	planned				
evolv2k_eruptions	volcanic_forcing	temporal			Eruptions in period (eVolv2k v4)	integer		event	planned		Count of eruptions in query period		
evolv2k_max_vssi	volcanic_forcing	temporal			Max VSSI in period (eVolv2k v4)	float	Tg	event	planned		Stratospheric sulfur injection		
evolv2k_hemispheric	volcanic_forcing	temporal			Hemispheric loading (eVolv2k v4)	string		event	planned		NH/SH/global		
narrative	narrative	output			LLM narrative summary	string		output	planned		Claude API; non-specialist natural language summary		
